,lon,lat,locality,year,month,kingdom,class,family,genus,species,new,state,country
22,-70.7167,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"43.075,-70.7167",New Hampshire,United States
23,-70.7167,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"43.075,-70.7167",New Hampshire,United States
24,-70.7167,43.075,New Castle,1900,5.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"43.075,-70.7167",New Hampshire,United States
33,-158.117,21.5833,Haleiwa,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"21.5833,-158.117",Hawaii,United States
35,-7.0,62.18,Hvalvík,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.18,-7.0",Streymoyar sýsla,Føroyar
36,-7.0,62.18,Hvalvík,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.18,-7.0",Streymoyar sýsla,Føroyar
37,-6.82,61.55,Ørðavík,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"61.55,-6.82",Suðuroyar sýsla,Føroyar
38,8.42,55.45,Nordby,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"55.45,8.42",Region Syddanmark,Danmark
47,-7.2,62.25,Saksun,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.25,-7.2",Streymoyar sýsla,Føroyar
48,-6.32,62.28,Svínoy,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.28,-6.32",Norðoya sýsla,Føroyar
50,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.0,-7.0",Streymoyar sýsla,Føroyar
51,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.0,-7.0",Streymoyar sýsla,Føroyar
52,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.0,-7.0",Streymoyar sýsla,Føroyar
56,-6.93,61.6,Hvalba,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"61.6,-6.93",Suðuroyar sýsla,Føroyar
57,-6.82,61.55,Ørðavík,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"61.55,-6.82",Suðuroyar sýsla,Føroyar
62,10.0,55.0,Fynshav,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark
64,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Himanthaliaceae,Himanthalia,Himanthalia elongata,"62.0,-7.0",Streymoyar sýsla,Føroyar
70,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar
71,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar
72,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar
73,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar
75,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
76,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
77,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
78,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
79,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
80,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
81,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
85,-7.2,62.25,Saksun,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.25,-7.2",Streymoyar sýsla,Føroyar
86,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar
87,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar
88,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar
